ИСУ,ФИО,ОБУЧЕНИЕ,ДОЛЖНОСТИ,ПОЛНОМОЧИЯ
1,Катя,"студент, 2 курс, группа F42712, институт перспективных систем передачи данных, образовательная программа Перспективные системы передачи данных / Advanced Data Transfer Systems 2021, Специализация ""Приборы и технологии оптоэлектроники""","инженер ( 0,25 ст.), [12440] лаборатория однофотонных детекторов и генераторов; менеджер ( 0,25 ст.), [695] центр организации творческих и корпоративных проектов","выпускник, ITMO.FAMILY, структура: ITMO.FAMILY; член клуба, Секция современных танцев, структура: ITMO.STUDENTS"
2,Лиза,"студент, 2 курс, группа B42005c, центр прикладной оптики, образовательная программа Прикладная оптика / Applied optics 2021, Специализация ""Оптико-электронные приборы и системы""",,"выпускник, ITMO.FAMILY, структура: ITMO.FAMILY"
3,Маша,"студент, 1 курс, группа U4126, факультет технологического менеджмента и инноваций, образовательная программа Инновационное предпринимательство / Innovation Entrepreneurship 2022 (Индивидуальный)","менеджер ( 1,00 ст.), [695] центр организации творческих и корпоративных проектов","выпускник, ITMO.FAMILY, структура: ITMO.FAMILY; руководитель клуба, Клуб «ИТМО.Панчлайн», структура: ITMO.STUDENTS"
4,Галя,"студент, 2 курс, группа K42402, факультет инфокоммуникационных технологий, образовательная программа Мобильные и облачные технологии 2021, Специализация ""Мобильные человеко-ориентированные приложения""","инженер ( 0,25 ст.), [622276] мегафакультет трансляционных информационных технологий","выпускник, ITMO.FAMILY, структура: ITMO.FAMILY; корреспондент, Мегабайт Медиа , структура: ITMO.STUDENTS; руководитель клуба, Клуб цифровой помощи пожилым людям«#ВСети», структура: ITMO.STUDENTS; член клуба, Клуб культурного волонтерства, структура: ITMO.STUDENTS; член клуба, Клуб помощи бездомным животным «Лапки помощи», структура: ITMO.STUDENTS; член клуба, Клуб цифровой помощи пожилым людям«#ВСети», структура: ITMO.STUDENTS; член клуба, Фан-клуб Genshin Impact, структура: ITMO.STUDENTS"
5,Даша,"студент, 4 курс, группа P34704, факультет программной инженерии и компьютерной техники, образовательная программа Компьютерные технологии в дизайне 2019, Специализация ""Дизайн графических пользовательских интерфейсов""","делопроизводитель ( 0,25 ст.), [922041] офис поддержки сотрудников","стажер, центр развития дополнительного образования, структура: Менторы и стажеры; член, Клуб бальных танцев, структура: ITMO.STUDENTS; член клуба, Клуб помощи иностранным студентам Buddy System, структура: ITMO.STUDENTS"
6,Женя,"студент, 2 курс, группа M42351, институт прикладных компьютерных наук, образовательная программа Биоинформатика и системная биология / Bioinformatics and systems biology 2021, Специализация ""Анализ данных в биологии и медицине / Data Analysis in Biology and Medicine""","делопроизводитель ( 0,25 ст.), [922041] офис поддержки сотрудников","выпускник, ITMO.FAMILY, структура: ITMO.FAMILY; стажер, центр качества организации учебного процесса, структура: Менторы и стажеры; фотограф, Мегабайт Медиа , структура: ITMO.STUDENTS; член клуба, Клуб дизайна DesArm, структура: ITMO.STUDENTS; член клуба, Клуб творчества ""Олеся и зонт"", структура: ITMO.STUDENTS; член клуба, Юмористическое сообщество Monkey Club of ITMO, структура: ITMO.STUDENTS"
7,Вадик,"студент, 2 курс, группа O42442, научно-образовательный центр инфохимии, образовательная программа Инфохимия / Infochemistry 2021 (Индивидуальный), Специализация ""Цифровизация химических технологий / Digitalization of Chemical Technology""","делопроизводитель ( 0,25 ст.), [922041] офис поддержки сотрудников; инженер ( 0,25 ст.), [12283] лаборатория интеллектуальных технологий в инфохимии","выпускник, ITMO.FAMILY, структура: ITMO.FAMILY; ментор, научно-образовательный центр инфохимии, структура: Менторы и стажеры; стажер, научно-образовательный центр инфохимии, структура: Менторы и стажеры; участник проекта, Проект ""Научно-образовательный центр инфохимии"", структура: Программа развития ИТМО 2030"
8,Катерина,"студент, 2 курс, группа A42402, химико-биологический кластер, образовательная программа Химия прикладных материалов / Chemistry of Applied Materials 2021, Специализация ""Прикладные материалы / Applied Materials""","инженер ( 0,25 ст.), [922010] химико-биологический кластер; ментор ( 0,25 ст.), [922041] офис поддержки сотрудников","выпускник, ITMO.FAMILY, структура: ITMO.FAMILY; ментор, институт международного развития и партнерства, структура: Менторы и стажеры; участник проекта, Проект ""Наномедицина, основанная на данных"", структура: Программа развития ИТМО 2030; член клуба, Студенческий педагогический отряд «Карамель», структура: ITMO.STUDENTS"
9,Мария,"студент, 4 курс, группа U34752, факультет технологического менеджмента и инноваций, образовательная программа Управление технологическими инновациями 2019, Специализация ""Управление инновационной деятельностью""","лаборант ( 0,25 ст.), [92133] проектный офис передовой инженерной школы; ментор ( 0,25 ст.), [922041] офис поддержки сотрудников","руководитель клуба, Клуб кураторов «Адаптер»  , структура: ITMO.STUDENTS; член клуба, Вокальное сообщество ITMO.STAYTUNED, структура: ITMO.STUDENTS"
10,Даня,"студент, 4 курс, группа B34202, центр химической инженерии, образовательная программа Биоинженерия 2019, Специализация ""Биоинженерия""",,"член клуба, Клуб дизайна DesArm, структура: ITMO.STUDENTS; член клуба, Секция современных танцев, структура: ITMO.STUDENTS; член клуба, Танцевальный коллектив Flame, структура: ITMO.STUDENTS"
